_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
161,1994,24,San Luis Potosí,85,9,0,94,1098065.0,1113317.0,2211382.0,7.74088965589469,0.808395093221427,4.2507355129055
162,1994,25,Sinaloa,61,6,0,67,1218318.0,1202388.0,2420706.0,5.00690295965421,0.499006976117526,2.76778757932603
163,1994,26,Sonora,79,10,0,89,1042300.0,1021661.0,2063961.0,7.57939172982827,0.978798251083285,4.31209698245267
164,1994,27,Tabasco,140,19,0,159,865318.0,859832.0,1725150.0,16.1790232030306,2.20973399454777,9.21658986175115
165,1994,28,Tamaulipas,102,12,0,114,1252935.0,1261400.0,2514335.0,8.14088520154677,0.951323925796734,4.53400203234653
166,1994,29,Tlaxcala,8,2,0,10,434774.0,443263.0,878037.0,1.84003643272137,0.451199400807196,1.13890416918649
167,1994,30,Veracruz,137,24,0,161,3356877.0,3409879.0,6766756.0,4.08117425809763,0.703837291587179,2.37927893365743
168,1994,31,Yucatán,48,19,0,67,772715.0,776146.0,1548861.0,6.21186336488874,2.44799303223878,4.32575938060291
169,1994,32,Zacatecas,37,5,0,42,671882.0,691735.0,1363617.0,5.50691936977029,0.722820155117205,3.08004373662106
170,1994,33,Extranjero,29,1,0,30,,,,,,
171,1995,0,Nacional,2459,451,2,2912,45753998.0,46752746.0,92506744.0,5.37439373057629,0.96464922081796,3.14787860223466
172,1995,1,Aguascalientes,16,4,0,20,428411.0,443316.0,871727.0,3.73473136777534,0.902290916637342,2.29429626477097
173,1995,2,Baja California,82,7,0,89,1070105.0,1045041.0,2115146.0,7.66279944491428,0.669830178911641,4.20774736117507
174,1995,3,Baja California Sur,22,3,0,25,193233.0,185094.0,378327.0,11.385218880833,1.62079808097507,6.60804013459256
175,1995,4,Campeche,20,11,0,31,325870.0,319727.0,645597.0,6.13741676128518,3.44043512121278,4.80175713332001
176,1995,5,Coahuila,66,7,0,73,1098538.0,1101859.0,2200397.0,6.00798515845606,0.63528999626994,3.31758314522334
177,1995,6,Colima,20,2,0,22,247216.0,247863.0,495079.0,8.09009125622937,0.806897358621497,4.44373524225427
178,1995,7,Chiapas,57,14,0,71,1819205.0,1807854.0,3627059.0,3.13323677100712,0.774398817603634,1.95750882464278
179,1995,8,Chihuahua,138,26,0,164,1412529.0,1411282.0,2823811.0,9.7697109227492,1.84229657857182,5.80775413085366
180,1995,9,Ciudad de México,269,60,0,329,4150642.0,4457301.0,8607943.0,6.48092511953572,1.34610608527447,3.82205133096258
181,1995,10,Durango,41,3,0,44,727908.0,735603.0,1463511.0,5.63257994142117,0.407828679328388,3.00646869070338
182,1995,11,Guanajuato,90,15,0,105,2182755.0,2293809.0,4476564.0,4.12322958829553,0.653934133138374,2.34554895227679
183,1995,12,Guerrero,37,16,0,53,1461528.0,1500131.0,2961659.0,2.53159706827375,1.06657351924599,1.7895375531079
184,1995,13,Hidalgo,31,12,0,43,1062749.0,1082422.0,2145171.0,2.91696345985741,1.10862491708409,2.00450220518551
185,1995,14,Jalisco,185,37,0,222,2997883.0,3120243.0,6118126.0,6.17102135073317,1.18580507992486,3.62856207930337
186,1995,15,Estado de México,136,35,0,171,5859221.0,5967583.0,11826804.0,2.32112767209156,0.586502106464208,1.44586821596096
187,1995,16,Michoacán,106,20,0,126,1942256.0,2029700.0,3971956.0,5.45757098961208,0.985367295659457,3.17224057869725
188,1995,17,Morelos,36,6,0,42,714468.0,739191.0,1453659.0,5.03871412015654,0.811698194377367,2.88926082389336
189,1995,18,Nayarit,24,3,0,27,457178.0,453233.0,910411.0,5.24959643727388,0.661911202405827,2.96569351644477
190,1995,19,Nuevo León,88,9,1,98,1799240.0,1789375.0,3588615.0,4.89095395833797,0.50296891372686,2.73085856242589
191,1995,20,Oaxaca,68,15,0,83,1623209.0,1673686.0,3296895.0,4.18923256339757,0.896225456865864,2.5175202728628
192,1995,21,Puebla,67,12,0,79,2322467.0,2418745.0,4741212.0,2.88486338019012,0.496125056589264,1.66624061526884
193,1995,22,Querétaro,43,7,0,50,625095.0,639418.0,1264513.0,6.87895439893136,1.09474553422018,3.95409141701192
194,1995,23,Quintana Roo,31,4,0,35,361923.0,339557.0,701480.0,8.56535782473067,1.17800546005531,4.98945087529224
195,1995,24,San Luis Potosí,66,11,0,77,1112520.0,1128795.0,2241315.0,5.93247761837989,0.974490496502908,3.4354831873253
196,1995,25,Sinaloa,71,8,1,80,1235743.0,1220298.0,2456041.0,5.74553123100839,0.655577572035683,3.25727461390099
197,1995,26,Sonora,90,4,0,94,1063908.0,1043625.0,2107533.0,8.45937806652455,0.383279434662834,4.46019113342472
198,1995,27,Tabasco,139,21,0,160,885572.0,881752.0,1767324.0,15.696069884775,2.38162204338635,9.05323528679518
199,1995,28,Tamaulipas,109,21,0,130,1275729.0,1284346.0,2560075.0,8.54413437336613,1.63507341479632,5.0779762311651
200,1995,29,Tlaxcala,10,5,0,15,444689.0,454147.0,898836.0,2.24876261836924,1.10096510601193,1.66882501368437
201,1995,30,Veracruz,170,37,0,207,3389643.0,3451357.0,6841000.0,5.01527742007049,1.07204209822397,3.02587341032013
202,1995,31,Yucatán,69,10,0,79,787659.0,791238.0,1578897.0,8.76013604872159,1.26384223204649,5.00349294475827
203,1995,32,Zacatecas,35,5,0,40,674906.0,695155.0,1370061.0,5.18590737080423,0.719264049025038,2.91957803338683
204,1995,33,Extranjero,27,1,0,28,,,,,,
205,1996,0,Nacional,2530,502,2,3034,46474031.0,47531607.0,94005638.0,5.44390048713442,1.05613933902971,3.22746599517786
206,1996,1,Aguascalientes,16,3,0,19,438720.0,454583.0,893303.0,3.64697301239971,0.65994548850265,2.1269378922941
